Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualFixedOperatingCost,TotalTechnologyAnnualActivity,NewCapacity,AnnualTechnologyEmission,Demand,CapitalInvestment,CapitalInvestmentStorage,AnnualVariableOperatingCost,TotalCapacityAnnual
Scenario1,0,RE1,,INDOTHCOAHTH,,2039,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2040,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2041,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2042,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2043,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2044,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2045,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2046,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2047,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2048,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2049,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2050,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2027,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2028,,,,,,,,,,,,0.06689256118479862,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2029,,,,,,,,,,,,0.006719455920369155,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2030,,,,,,,,,,,,0.007361201710516782,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2031,,,,,,,,,,,,0.008078447005387596,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2032,,,,,,,,,,,,0.008908941557343411,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2033,,,,,,,,,,,,0.009777185861660785,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2034,,,,,,,,,,,,0.010796429175424595,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2035,,,,,,,,,,,,0.009107542089148733,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2036,,,,,,,,,,,,0.015769544717173047,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2037,,,,,,,,,,,,0.014344905897405669,,,,,,
Scenario1,0,RE1,,INDOTHHDGHTH,,2038,,,,,,,,,,,,0.015779396487159453,,,,,,
